Orden,Fase,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Descripción Detallada,Nivel Dificultad,Dependencias,Modelo Pricing Referencia,IA Planificación (Ask Mode),IA Ejecución (Agent Mode),IA Corrección,Clasificación Ejecución,Horas Rev.,Capa 1: IA Consultor Legal,Capa 2: Textos Legales (bcn.cl),Capa 3: Causas Reales PJUD,Capa 4: Abogado Validación
28,Fase 2: Digestión (Pipeline),7.07e,07 Pipeline,Chunking Testing con PDFs Reales PJUD,Alta,Listo,3.0,Testing + ajuste iterativo del pipeline de chunking completo (normalizer → section-detector → token-chunker → metadata-enricher) con documentos reales de PJUD. Descargar 10+ PDFs reales: 2 sentencias (ordinaria + ejecutiva) + 2 demandas (ejecutiva + sumaria arrendamiento) + 2 actuaciones receptor (requerimiento de pago + notificación Art.44) + 1 acta de embargo + 1 mandamiento + 1 escrito excepciones Art.464 + 1 auto de prueba. Para cada PDF: verificar visualmente que 1) normalizer elimina artefactos sin perder contenido legal 2) section-detector identifica fronteras correctas 3) chunks respetan límites semánticos 4) metadata heredada es completa y correcta. Métricas de observabilidad: total chunks generados por documento + distribución de tamaños (tokens) + % documentos con detección exitosa de secciones vs fallback genérico + secciones detectadas por tipo. Ajustar regex del section-detector según hallazgos. Documentar patrones no cubiertos para iteración futura. Incluir mezcla de PDFs nativos + escaneados (OCR) para validar normalización de encoding.,Alta,7.07d,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual,2.0,-,Verificar Art.170 CPC (requisitos sentencia) + Art.254 (requisitos demanda) + Art.434 (títulos ejecutivos) + Art.680-692 (procedimiento sumario) en bcn.cl para validar que los cortes del chunker respetan la estructura legal.,Ejecutar pipeline completo sobre los 10+ PDFs reales. Verificar distribución de chunks + calidad de cortes + metadata. Iterar regex con hallazgos.,No necesario para MVP. El abogado puede validar calidad del chunking indirectamente al revisar respuestas del RAG en la sesión de prompts (3.04).
29,Fase 2: Digestión (Pipeline),7.08,07 Pipeline,Embedding Generation Pipeline,Alta,Listo,5.0,Embeddings con text-embedding-004 de Google. Lotes de 100 chunks. Trigger al completar chunking de una causa. Cola para rate limits. DECISIÓN ARQUITECTURAL — EMBEDDING INPUT ENRIQUECIDO: cada embedding se genera a partir de metadata contextual breve + texto del chunk (NO solo texto puro). Usa buildEmbeddingInput() de 7.07d: formato [tipo_doc | sección | procedimiento | folio N | cuaderno X] + chunk_text. Esto preserva contexto jurídico en el vector y mejora retrieval accuracy — evita ambigüedad tipo 'Se acoge la demanda' sin saber si es sentencia o considerando. En DB: chunk_text guarda solo texto puro (para display al usuario y al LLM) + metadata JSONB guarda metadata completa. El embedding se genera del input enriquecido. Trade-off: metadata breve para no diluir especificidad del vector.,Alta,7.06 + 7.07e,text-embedding-004: ~$0.003 por causa 500 págs,GPT-5.3 Codex High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Max ON,GPT-5.3 Codex Fast (cerebro) | Debug | Max OFF,Delegable,3.0,-,-,-,-
30,Fase 2: Digestión (Cerebro),3.01,03 Cerebro,Multi-Provider AI Router (Gemini + Claude),Alta,Listo,7.0,PIVOT ARQUITECTURAL: routing multi-proveedor con 2 SDKs. src/lib/ai/router.ts: getProvider(mode). SDK 1: @google/generative-ai para Capa 1. SDK 2: @anthropic-ai/sdk para Capas 2-3. CAPA 1 (Fast Chat): gemini-3-flash ($0.50/$3.00) con Google Search Grounding activable para queries de jurisprudencia (gratis hasta 5K-45K queries/mes según tier). Configurar googleSearchRetrieval con dynamicRetrievalConfig threshold 0.3. CAPA 2 (Full Analysis): claude-sonnet-4-6 ($3/$15) con Citations API (citations: {enabled: true}) + Web Search Tool (web_search_20260209 con dynamic filtering) — búsqueda web incluida en tokens sin cargo adicional. CAPA 3 (Deep Thinking): claude-opus-4-6 ($5/$25) con Extended Thinking (thinking tokens a $5/MTok) + Citations API + Web Search Tool. Dos API keys (GEMINI_API_KEY + ANTHROPIC_API_KEY). Config por capa: provider + model_id + max_input_tokens + temperature + system_prompt_template + tools (grounding/web_search/citations). Interfaz unificada getAIResponse(mode + query + context) que abstrae el proveedor — el resto del código no sabe si habla con Gemini o Claude.,Alta,,Gemini Flash $0.50/$3.00 | Claude Sonnet $3/$15 | Claude Opus $5/$25,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Agent | Max ON,Semi-manual Light,4.0,-,-,-,-
31,Fase 2: Digestión (Cerebro),3.05,03 Cerebro,Multi-Provider Caching Setup (Gemini + Claude),Alta,Listo,5.0,CACHING DUAL POR PROVEEDOR — ambos ofrecen ~90% descuento pero con mecánicas distintas. GEMINI (Capa 1): explicit caching de system prompt + contexto de causa con TTL 30min. Cache read: $0.05/MTok (90% descuento sobre $0.50 input). Cache storage: $1.00/MTok/hr. Mínimo 1024 tokens. Al iniciar sesión de chat sobre una causa → crear cache con system prompt + metadata causa → reutilizar en queries subsiguientes. CLAUDE (Capas 2-3): prompt caching de system prompt + chunks del expediente con TTL 5min auto-refresh. Cache write: $3.75/MTok (Sonnet) / $6.25/MTok (Opus) — se paga solo al crear. Cache read: $0.30/MTok (Sonnet) / $0.50/MTok (Opus) — 90% descuento. Se puede stackear con Batch API para 95% descuento en procesamiento async (no sirve para chat real-time). Mínimo 1024 tokens para ambos modelos Claude. ESTRATEGIA: cachear system prompt largo (reglas CPC + terminología + estructura procesal ~2K tokens) como prefijo estable. Los chunks del expediente van después del prefijo cacheado. Monitorear cache hit rate por proveedor. NOTA: Claude prompt caching TTL 5min es más corto que Gemini 30min → para sesiones largas de análisis en Capas 2-3 el cache se refresca automáticamente si hay actividad continua.,Alta,3.01,Gemini cache read $0.05/MTok | Claude cache read $0.30-$0.50/MTok | Ambos ~90% descuento,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual Light,3.0,-,-,-,-
32,Fase 2: Digestión (Cerebro),3.10,03 Cerebro,SQL: Chat History & Conversations Schema,Alta,Listo,3.0,Tablas: 1) conversations: id + case_id FK + user_id + title + mode ('fast_chat'|'full_analysis'|'deep_thinking') + created_at + updated_at. 2) chat_messages: id + conversation_id FK + role ('user'|'assistant') + content + sources_cited JSONB + web_sources_cited JSONB (URLs de jurisprudencia encontrada via web search) + tokens_input int + tokens_output int + model_used text (valores: 'gemini-3-flash' | 'claude-sonnet-4-6' | 'claude-opus-4-6') + provider text ('google' | 'anthropic') + latency_ms int + created_at. RLS por user_id. Índices: conversation_id + created_at para historial ordenado. Campo provider facilita billing analytics por proveedor y permite calcular costos reales por capa/usuario.,Alta,7.02,,GPT-5.3 Codex Extra High (cerebro) | Max ON,GPT-5.3 Codex Extra High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Debug | Max OFF,Delegable,1.5,-,-,-,-
33,Fase 2: Digestión (Cerebro),3.02,03 Cerebro,RAG Pipeline — Capa 1: Fast Chat (Civil Multi-Procedimiento),Alta,Listo,10.0,Pipeline RAG para causas civiles chilenas — COMPETENCIA CIVIL COMPLETA: todos los procedimientos (ordinario + ejecutivo + sumario + monitorio + voluntario). Misma pipeline con system prompt adaptado por procedimiento (eje principal de routing). Routing por cases.procedimiento. libro_tipo como metadata para filtros opcionales. 1) Pregunta + case_id obligatorio. 2) Embedding pregunta. 3) Vector search FILTRADA por case_id + filtro opcional por tipo documento (resolución/escrito/actuación/notificación) y cuaderno. 4) Retrieval híbrido: vector (top-10) + full-text BM25 en Postgres. 5) Reranking: relevancia combinada + priorización temporal (docs recientes primero para consultas de estado procesal). 6) Top-5 chunks + system prompt según cases.procedimiento → gemini-3-flash (vía router multi-provider 3.01). 7) Respuesta con citas (foja + fecha + tipo + cuaderno). GOOGLE SEARCH GROUNDING: activar googleSearchRetrieval cuando la query es sobre jurisprudencia (detección por keywords: 'jurisprudencia' + 'sentencia de' + 'Corte Suprema' + 'fallos sobre' + 'criterio jurisprudencial'). El grounding busca en Google (indexa juris.pjud.cl + vlex + doctrina) y devuelve groundingMetadata con URLs verificables. Gratis hasta 5K-45K queries/mes según tier. DOBLE MODO: query sobre expediente → solo RAG local (sin grounding). Query sobre jurisprudencia → RAG local + Google Search Grounding. Query mixta ('compara mi causa con jurisprudencia') → ambos. Multi-query decomposition para preguntas procesales complejas. Ejemplos ordinario: ¿se notificó correctamente? cruza actuación receptor + certificación + plazo Art. 258 CPC. Ejemplos ejecutivo: ¿qué bienes se embargaron? cruza mandamiento + acta embargo + folio receptor. ¿Se opusieron excepciones dentro de plazo? cruza notificación mandamiento + escrito excepciones + plazo 4-8d Art. 459 CPC. Ejemplos sumario: ¿Se notificó la resolución que cita a comparendo? cruza resolución + actuación receptor + plazo 5d Art.683. ¿Hubo conciliación o se recibió la causa a prueba? cruza acta de audiencia + auto de prueba. ¿Se cumplió el lanzamiento? cruza resolución + actuación receptor de lanzamiento. ROUTING SIMPLIFICADO: switch(procedimiento) → prompt especializado. Fallback a prompt civil genérico si procedimiento desconocido. Filtro opcional por libro_tipo en vector search si usuario lo especifica. MVP v1: todos los procedimientos accesibles desde Consulta Unificada. MVP v1.1: causas tipo f vía Mis Causas (ver 4.21).,Muy Alta,7.08 + 3.01 + 3.04 + 3.10,Gemini Flash $0.50/$3.00 + Google Search Grounding gratis (free tier),Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual Light,7.0,Pedir a la IA que genere 30+ queries de prueba con respuestas esperadas: 10 ordinario (¿se notificó? ¿se contestó? ¿estado prueba?) + 10 ejecutivo (¿se requirió de pago? ¿bienes embargados? ¿excepciones dentro de plazo?) + 5 sumario (¿se realizó audiencia? ¿hubo conciliación?) + 5 monitorio (¿se notificó resolución de pago?). Para cada query indicar tipo de documento esperado en la cita.,Verificar plazos citados en respuestas del RAG: Art.258 (18d contestación ordinario) + Art.459 (4-8d excepciones ejecutivo) + Art.683 (5d audiencia sumario) + Art.189 (5d apelación). Cada respuesta que mencione un plazo debe ser verificable contra el CPC en bcn.cl.,Indexar 3 causas reales completas (1 ordinaria + 1 ejecutiva + 1 sumaria arrendamiento). Ejecutar las 30+ queries y verificar que respuestas citan documentos correctos comparando contra expediente real. Medir retrieval accuracy: ¿el chunk citado contiene la información correcta?,No necesario para MVP. Las respuestas son informativas y el abogado usuario las valida en uso real. Incluir 3-5 respuestas representativas en la sesión de validación de prompts (3.04) como control adicional.
34,Fase 2: Digestión (Cerebro),3.06,03 Cerebro,Enhanced Analysis Pipeline (Capa 2+3 — Claude Sonnet/Opus),Alta,Listo,9.0,PIVOT A CLAUDE PARA CAPAS 2-3: un solo pipeline de retrieval con modelo Claude configurable. El retrieval es idéntico → se implementa UNA vez. Solo cambia el modelo Claude según selección del usuario. Pipeline compartido: RAG top-20 + documentos clave completos según cases.procedimiento: ordinario (demanda + contestación + últimas resoluciones) | ejecutivo (demanda ejecutiva + mandamiento + acta embargo + excepciones si existen + últimas resoluciones) | sumario (demanda + acta audiencia) | voluntario/otros (solicitud + informes + últimas resoluciones) + prompt caching Claude (3.05). MODO ANÁLISIS COMPLETO: modelo = claude-sonnet-4-6 ($3/$15) con Citations API (citations: {enabled: true}) → citas grounded automáticas a los documentos del expediente pasados como source documents. Web Search Tool (web_search_20260209 con dynamic filtering) → búsqueda de jurisprudencia en tiempo real cuando la query lo requiere — $0 adicional (incluido en tokens). System prompt cross-document con instrucciones de cuándo activar web search. Límite Individual: 150/mes. ~$0.05/query. MODO PENSAMIENTO PROFUNDO: modelo = claude-opus-4-6 ($5/$25) con Extended Thinking (thinking tokens a tarifa input $5/MTok) + Citations API + Web Search Tool. System prompt con CoT ampliado: Marco legal (CPC + CC + leyes especiales según procedimiento) → Artículos aplicables → Hechos del expediente → Jurisprudencia relevante (vía web search) → Análisis procesal → Conclusión + riesgos + probabilidad de éxito. Límite Individual: 30/mes. ~$0.15/query. DOBLE TIPO DE CITAS: cada respuesta puede incluir 1) citas al expediente sincronizado (vía Citations API — foja + cuaderno + fecha + página) y 2) citas a jurisprudencia encontrada online (vía Web Search — ROL sentencia + tribunal + fecha + enlace URL). INTERFAZ: getEnhancedAnalysis(case_id + query + mode: 'full_analysis' | 'deep_thinking') → usa @anthropic-ai/sdk → selecciona modelo Claude + system prompt + habilita citations + web_search. El abogado sigue viendo 3 modos en UI (Chat Rápido / Análisis Completo / Pensamiento Profundo) sin cambios. NOTA ZDR: Web Search Tool con dynamic filtering NO es ZDR-compatible por defecto. Si se requiere Zero Data Retention para privacidad abogado-cliente → configurar allowed_callers: ['direct'] para deshabilitar dynamic filtering (aumenta consumo tokens pero mantiene ZDR).,Alta,3.02 + 3.05,Full (Sonnet) ~$0.05/query | Deep (Opus) ~$0.15/query con cache,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual Light,6.0,Pedir a la IA que defina: 1) Qué documentos clave incluir en long context por procedimiento. 2) Cadena CoT para modo deep_thinking con Claude Extended Thinking: Marco legal → Artículos → Hechos → Jurisprudencia (web search) → Análisis → Conclusión + riesgos. 3) Instrucciones para Citations API: cómo pasar documentos como source documents para que Claude genere citas grounded. Cross-reference entre modelos.,Verificar artículos CPC citados contra bcn.cl. Especial atención a Art.434-529 (ejecutivo) + Art.680-692 (sumario) + Art.764-808 (casación) + Art.186-189 (apelación).,Probar con 3 causas reales (ordinaria + ejecutiva + sumaria). Comparar calidad Capa 1 (Gemini) vs Full Analysis (Claude Sonnet) vs Deep Thinking (Claude Opus) en 5+ queries complejas cross-document. Probar causa ejecutiva compleja para Deep Thinking. Verificar que Citations API genera citas correctas vs citas por prompt en Capa 1. Probar Web Search con queries de jurisprudencia.,Incluir 2-3 respuestas de Deep Thinking en la sesión de validación con abogado. Incluir 1 respuesta que cruce expediente + jurisprudencia (web search) para validar calidad de ambas fuentes.
36,Fase 2: Digestión (Cerebro),3.08,03 Cerebro,Chat UI 3 Modos (Sidepanel),Alta,Listo,10.0,3 modos: Chat Rápido (rayo) / Análisis Completo (lupa) / Pensamiento Profundo (cerebro). Requiere causa seleccionada. SOLO SIDEPANEL en V1. Acciones rápidas ADAPTATIVAS según cases.procedimiento (eje principal de routing): COMUNES: Resumen del estado actual + Cronología de actuaciones + ¿Cuáles son los próximos plazos? + Documentos clave pendientes + ¿Qué recursos proceden? ORDINARIO: ¿Se notificó correctamente al demandado? + ¿Se contestó la demanda? + Estado de la prueba. EJECUTIVO: ¿Se requirió de pago al ejecutado? + ¿Qué bienes se embargaron? + ¿Se opusieron excepciones? ¿Cuáles? + ¿Estado del remate? + Monto actualizado del crédito + ¿Hay tercerías? SUMARIO: ¿Se notificó al demandado para la audiencia? + ¿Se realizó la audiencia? + ¿Hubo conciliación o se recibió a prueba? + ¿Se dictó sentencia? + ¿Se ordenó lanzamiento/restitución? + ¿Estado del desalojo? MONITORIO: ¿Se notificó la resolución de pago? + ¿Pagó o se opuso? + ¿Se ordenó lanzamiento? Contador uso mensual. Streaming SSE. Historial por causa (conversations + chat_messages). Sección Fuentes obligatoria en cada respuesta — CON DOS SUBSECCIONES: 'Del Expediente' (citas a documentos sincronizados con link a PDF vía 3.11) + 'Jurisprudencia' (citas a sentencias encontradas via web search con enlace externo). Indicador visual cuando la respuesta incluye jurisprudencia de web search (icono globo o badge 'Fuente web'). DISPLAY: badge de procedimiento (Ordinario/Ejecutivo/Sumario/Monitorio/Voluntario) como elemento principal + badge secundario de libro/tipo (c/v/e/a/f/i) en selector de causa. Acciones rápidas determinadas por procedimiento. Filtro por procedimiento y opcionalmente por libro/tipo en lista de causas del chat. MVP v1: todos los procedimientos accesibles desde Consulta Unificada. MVP v1.1: causas tipo f (ver 4.21).,Muy Alta,3.06 + 3.10,,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 | Agent | Max ON,Semi-manual,7.0,Pedir a la IA que refine las acciones rápidas por procedimiento. Validar que las preguntas predefinidas (ej: ¿Se requirió de pago? para ejecutivo vs ¿Se realizó la audiencia? para sumario) cubren los momentos procesales más relevantes según el CPC.,-,Probar cada acción rápida contra causas reales indexadas. Verificar que cada una produce respuesta útil cuando hay datos relevantes y respuesta informativa cuando no los hay (ej: No se encontraron actuaciones de embargo en el expediente).,-
37,Fase 2: Digestión (Cerebro),3.09,03 Cerebro,Dual Citation System (Expediente + Jurisprudencia),Alta,Listo,5.0,SIMPLIFICADO POR CITATIONS API: sistema de citas con dos fuentes distintas adaptado a práctica civil chilena. CITAS AL EXPEDIENTE: en Capas 2-3 (Claude) → usar Citations API nativa que devuelve citas grounded automáticamente a los source documents pasados en el API call — elimina necesidad de parsear citas de texto libre. Claude retorna objetos citation con document_id + start_char_index + end_char_index + cited_text. Post-procesamiento: mapear document_id a metadata del chunk (foja + cuaderno + fecha + página) → renderizar como 'Según [tipo] de fecha [DD/MM/YYYY] folio [N] cuaderno [nombre] (pág. N)'. En Capa 1 (Gemini) → citas generadas por prompt + metadata de chunks (sin Citations API nativa) — requiere post-procesamiento de texto como antes. CITAS A JURISPRUDENCIA: en todas las capas → cuando Web Search (Claude) o Google Search Grounding (Gemini) encuentran sentencias → citar como 'Según sentencia [Corte] ROL [N] de fecha [DD/MM/YYYY]' con enlace URL clickeable. Gemini devuelve groundingMetadata.groundingChunks con URI + title. Claude Web Search devuelve citas inline con URLs. DISPLAY EN UI: sidebar de fuentes con DOS secciones: 1) 'Del Expediente' — agrupadas por tipo y fecha con link a PDF + scroll a página (3.11). 2) 'Jurisprudencia' — agrupadas por tribunal con enlace externo. Badge visual distinto para cada tipo. CRÍTICO para adopción por abogados civiles que verifican cada dato.,Alta,3.08,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Delegable,3.0,-,-,Verificar formato de citas generadas contra citas en sentencias reales de PJUD. Confirmar que foja + cuaderno + fecha en la cita coinciden con el documento referenciado. Comparar calidad de citas: Citations API (Claude Capas 2-3) vs prompt-based (Gemini Capa 1). Probar con 5+ respuestas del RAG sobre causas reales. Verificar que citas de jurisprudencia (web search) apuntan a URLs válidas.,-
38,Fase 2: Digestión (Cerebro),3.11,03 Cerebro,PDF Viewer Component (Sidepanel),Alta,Listo,4.0,Visor de PDF embebido usando pdf.js o react-pdf. SOLO SIDEPANEL en V1. 1) Renderizar PDF desde Supabase Storage. 2) Navegación por páginas. 3) Scroll automático a página citada cuando el abogado clickea una fuente del chat. 4) Highlight de texto relevante (opcional). 5) Responsive para Sidepanel (ancho limitado). 6) Lazy loading para PDFs grandes.,Alta,3.09,,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 | Debug | Max OFF,Delegable,3.0,-,-,-,-
39,Fase 2: Digestión (Cerebro),3.04,03 Cerebro,Prompt Engineering Legal Civil Multi-Procedimiento,Alta,Listo,13.0,MULTI-MODELO: system prompts especializados en derecho procesal civil chileno con variantes por proveedor (Gemini Capa 1 + Claude Capas 2-3). COMPETENCIA CIVIL COMPLETA: multi-procedimiento (ordinario + ejecutivo + sumario + monitorio + voluntario). Routing por cases.procedimiento (eje principal): switch(procedimiento) → aplicar prompt especializado. libro_tipo como metadata informativa (no determina routing). VARIANTES POR PROVEEDOR: cada prompt tiene versión Gemini (Capa 1 — instrucciones de cuándo activar Google Search Grounding para jurisprudencia) + versión Claude (Capas 2-3 — instrucciones para Citations API: citar siempre con referencia al source document + instrucciones para Web Search Tool: cuándo buscar jurisprudencia online + instrucciones de Extended Thinking para Capa 3). INSTRUCCIONES WEB SEARCH COMUNES: cuando el abogado pregunte sobre jurisprudencia o precedentes → activar búsqueda web. Cuando pregunte solo sobre su causa → usar solo RAG del expediente. Distinguir siempre en la respuesta entre 'lo que dice el expediente' vs 'lo que dice la jurisprudencia encontrada'. FORMATO CITAS POR PROVEEDOR: Gemini → citar expediente por prompt + jurisprudencia con groundingMetadata URLs. Claude → citar expediente via Citations API (automático) + jurisprudencia via Web Search URLs. Terminología obligatoria: fojas + carátula + ROL + cuaderno + proveído + despacho + mandamiento + exhorto + receptor + cédula + requerimiento + embargo + remate + título ejecutivo + depositario + tercería. ESTRUCTURA ORDINARIO: demanda → excepciones dilatorias → contestación 18d Art.258 → réplica → dúplica → conciliación obligatoria Art.262 → prueba 20d Art.328 → observaciones 10d Art.430 → sentencia. PLAZOS ORDINARIO: contestación 18d Art.258 + apelación 5d Art.189 + casación 15d Art.770. ESTRUCTURA EJECUTIVO (Art. 434-529 CPC): demanda ejecutiva (requiere título ejecutivo Art.434) → examen título y despacho mandamiento Art.441 → requerimiento de pago por receptor → embargo de bienes (Art.445: orden de embargo) → excepciones 4d Art.459 (notif. personal) u 8d Art.459 inc.2 (notif. Art.44) → 18 causales Art.464 (prescripción/pago/compensación/nulidad obligación/falta requisitos título/etc.) → sentencia Art.470-471 (de pago o remate) → realización de bienes: remate Art.485-502. PLAZOS EJECUTIVO: excepciones 4-8d Art.459 + apelación 5d Art.189 + renovación embargo sin plazo. ESTRUCTURA SUMARIO (Art.680-692 CPC): demanda sumaria → resolución que cita a comparendo 5to día Art.683 → audiencia (contestación oral + conciliación + prueba si procede en misma audiencia o auto de prueba 8d reglas incidentes) → sentencia 10d Art.688. PLAZOS SUMARIO: audiencia 5d Art.683 + término probatorio 8d (reglas incidentes) + apelación 5d Art.189. MATERIAS DE APLICACIÓN OBLIGATORIA (Art.680 inc.2 CPC): arrendamiento (Ley 18.101: término contrato + desahucio + cobro rentas + restitución) + comodato precario + precario + interdictos posesorios (querella amparo/restitución/obra nueva/obra ruinosa Art.549-583 CPC) + acciones accesorias del arrendador + otras por leyes especiales (Código Minería Art.231 + Ley 20.720 concursal). MONITORIO (Ley 21.461 — 2022): procedimiento aún más rápido para arrendamiento. Resolución ordena pago en 10d corridos → si no paga ni se opone → lanzamiento directo en 10d. Materias PJUD: M09 (Monitorio Cobro Rentas) + M10 (Monitorio Precario) + M11 (Monitorio Comodato Precario). Reconocer estos códigos en cases.materia → mapear a cases.procedimiento='monitorio' → aplicar prompts de arrendamiento/desalojo. PERFIL adicional: Abogado arrendamiento/inmobiliario (desahucios + restituciones + cobro rentas + lanzamientos + inventarios de bienes). PERFILES: Juez civil (Art. 160-170 CPC + imparcial + fundamentos de hecho y derecho) + Abogado litigante civil (estrategia procesal + plazos fatales multi-procedimiento) + Abogado ejecutivo/cobranza (eficiencia en gestión masiva + bienes embargables + tercerías Art.518-529) + Revisor de plazos y notificaciones. Filtro causa: responder SOLO con info de la causa (case_id). Calibración iterativa con causas reales de PJUD (incluir ejecutivos BCI/Scotiabank/Ripley típicos de cobranza). ROUTING SIMPLIFICADO POR PROCEDIMIENTO: switch(procedimiento) → prompt ordinario|ejecutivo|sumario|monitorio|voluntario|genérico. Voluntarios: terminología de jurisdicción voluntaria (solicitud + decreto + informe + resolución). Fallback a prompt civil genérico si procedimiento desconocido. MVP v1: prompts para todos los procedimientos accesibles desde Consulta Unificada. MVP v1.1: especializar prompts para causas tipo f al tener acceso a Mis Causas (ver 4.21). REORDENADO: esta tarea se ejecuta ANTES de 3.02 (RAG Pipeline) porque los prompts son prerequisito del RAG. Se puede desarrollar en paralelo con 7.07 (chunking) + 7.08 (embeddings). Validación con abogado (Capa 4) se hace temprano para incorporar feedback antes de construir UI.,Alta,7.07e,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Agent | Max ON,Semi-manual,8.0,Pedir a la IA que redacte system prompts completos para cada procedimiento (ordinario + ejecutivo + sumario + monitorio) y cada perfil (Juez civil + Abogado litigante + Abogado cobranza + Revisor plazos). Cross-reference entre 2+ modelos (Claude + Gemini). Incluir terminología obligatoria: fojas + carátula + ROL + cuaderno + proveído + mandamiento + requerimiento + embargo + remate + título ejecutivo + depositario + tercería. Cubrir todas las etapas procesales.,Verificar TODOS los artículos CPC citados en prompts contra bcn.cl: Art.254 + Art.258-259 + Art.434 + Art.441 + Art.459 + Art.464 + Art.470-471 + Art.485-502 + Art.680-692 + Art.683 + Art.688 + Art.152 + Art.189 + Art.770. Crear checklist y marcar cada artículo como verificado.,Probar cada prompt con 3+ causas reales del procedimiento correspondiente. Evaluar: ¿usa terminología correcta? ¿cita fojas/cuadernos correctamente? ¿plazos calculados coinciden con los reales? ¿distingue correctamente ordinario vs ejecutivo vs sumario? Iterar prompts con errores encontrados. Documentar hallazgos.,Sesión de 2h con abogado civil litigante. Mostrar 6 respuestas del sistema (2 por procedimiento) + los system prompts. Que valide: terminología + plazos + estructura procesal + que la IA no afirme cosas incorrectas. Incorporar feedback directo del abogado en prompts finales.
40,Fase 3: Fundación (Feature + Negocio),3.13,03 Cerebro,Acción Rápida: Análisis de Plazos Fatales vía RAG (Light),Alta,Listo,4.0,DEPENDENCIAS YA CUMPLIDAS (3.02 + 3.08) — se adelanta porque entrega alto valor con bajo esfuerzo. Versión MVP del Motor de Plazos (10.01) implementada como acción rápida en Chat UI (3.08) + prompt especializado en 3.04. NO calcula plazos automáticamente — usa RAG para analizar la causa y responder. Acción rápida predefinida por procedimiento (eje principal): ¿Cuáles son los plazos vigentes en esta causa? La IA: 1) Busca notificaciones recientes en el expediente (actuaciones receptor + certificaciones + estado diario). 2) Identifica resoluciones notificadas y tipo de notificación. 3) Aplica reglas CPC del procedimiento correspondiente (ordinario: Art.258-259 / ejecutivo: Art.459 / sumario: Art.683). 4) Calcula días hábiles restantes (Art.66 CPC) considerando feriados. 5) Responde con tabla: Plazo | Vence | Días restantes | Artículo CPC | Estado (vigente/vencido). System prompt dedicado en 3.04 con reglas de plazos por procedimiento. Limitación vs. 10.01: requiere que el abogado pregunte activamente (no hay alertas automáticas ni calendario). Pero entrega el 80% del valor con 20% del esfuerzo. Si el abogado pregunta cada mañana ¿plazos? ya tiene control básico. ROUTING POR PROCEDIMIENTO: reglas de plazos para cada procedimiento (ordinario + ejecutivo + sumario + monitorio + voluntario). switch(procedimiento) → reglas CPC correspondientes. MVP v1: plazos para todos los procedimientos accesibles desde Consulta Unificada. MVP v1.1: plazos para causas tipo f (ver 4.21).,Alta,3.02 + 3.08,Gemini Flash $0.50/$3.00 por M tokens + Google Search Grounding gratis (free tier). ~$0.005/query (1 fast_chat). Sin costo adicional: consume cuota fast_chat del plan. Corre en Gemini (Capa 1) vía router multi-provider (3.01),Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual Light,3.0,Pedir a la IA que diseñe prompt especializado con TODAS las reglas de plazos: Art.258 (18d contestación) + Art.459 (4-8d excepciones) + Art.683 (5d audiencia) + Art.189 (5d apelación) + Art.770 (15d casación) + Art.66 (cómputo días hábiles) + Art.152 (6m abandono). Pedir tabla feriados Chile 2025-2027. Incluir reglas de fecha efectiva por tipo notificación (personal=inmediata + Art.44=3er día hábil + estado diario=día siguiente).,Verificar cada regla de plazo contra CPC en bcn.cl: Art.258 + 259 + 459 + 683 + 189 + 770 + 66 + 152. Verificar tabla de feriados contra calendario oficial de Chile (feriados irrenunciables Ley 19.973).,Tomar 3 causas reales donde se conozcan plazos ya vencidos (ej: causa donde se contestó demanda dentro/fuera de plazo). Ejecutar acción rápida y comparar plazos calculados vs los que realmente corrieron. Si una causa tuvo contestación extemporánea el sistema debe detectarlo.,-
